TAXON,ORDER,FAMILY,HYP,LOP,AL
Oryx beisa,Artiodactyla,Bovidae,3,2,0
Oryx dammah,Artiodactyla,Bovidae,3,2,0
Oryx gazella,Artiodactyla,Bovidae,3,2,0
Oryx leucoryx,Artiodactyla,Bovidae,3,2,0
Ourebia ourebi,Artiodactyla,Bovidae,3,2,0
Ovibos moschatus,Artiodactyla,Bovidae,3,2,0
Ovis ammon,Artiodactyla,Bovidae,3,2,0
Ovis aries,Artiodactyla,Bovidae,3,2,0
Ovis canadensis,Artiodactyla,Bovidae,3,2,0
Ovis dalli,Artiodactyla,Bovidae,3,2,0
Ovis nivicola,Artiodactyla,Bovidae,3,2,0
Pantholops hodgsonii,Artiodactyla,Bovidae,3,2,0
Pelea capreolus,Artiodactyla,Bovidae,3,2,0
Philantomba maxwellii,Artiodactyla,Bovidae,1,2,0
Philantomba monticola,Artiodactyla,Bovidae,1,2,0
Procapra gutturosa,Artiodactyla,Bovidae,3,2,0
Procapra picticaudata,Artiodactyla,Bovidae,3,2,0
Procapra przewalskii,Artiodactyla,Bovidae,3,2,0
Pseudois nayaur,Artiodactyla,Bovidae,3,2,0
Pseudois schaeferi,Artiodactyla,Bovidae,3,2,0
Pseudoryx nghetinhensis,Artiodactyla,Bovidae,NA,2,0
Raphicerus campestris,Artiodactyla,Bovidae,3,2,0
Raphicerus melanotis,Artiodactyla,Bovidae,3,2,0
Raphicerus sharpei,Artiodactyla,Bovidae,3,2,0
Redunca arundinum,Artiodactyla,Bovidae,3,2,0
Redunca fulvorufula,Artiodactyla,Bovidae,3,2,0
Redunca redunca,Artiodactyla,Bovidae,3,2,0
Rupicapra pyrenaica,Artiodactyla,Bovidae,3,2,0
Rupicapra rupicapra,Artiodactyla,Bovidae,3,2,0
Saiga borealis,Artiodactyla,Bovidae,3,2,0
Saiga tatarica,Artiodactyla,Bovidae,3,2,0
Sylvicapra grimmia,Artiodactyla,Bovidae,2,2,0
Syncerus caffer,Artiodactyla,Bovidae,3,2,0
Taurotragus derbianus,Artiodactyla,Bovidae,3,2,0
Taurotragus oryx,Artiodactyla,Bovidae,3,2,0
Tetracerus quadricornis,Artiodactyla,Bovidae,3,2,0
Tragelaphus angasii,Artiodactyla,Bovidae,2,2,0
Tragelaphus buxtoni,Artiodactyla,Bovidae,1,2,1
Tragelaphus eurycerus,Artiodactyla,Bovidae,2,2,1
Tragelaphus imberbis,Artiodactyla,Bovidae,2,2,0
Tragelaphus scriptus,Artiodactyla,Bovidae,2,2,1
Tragelaphus spekii,Artiodactyla,Bovidae,2,2,0
Tragelaphus strepsiceros,Artiodactyla,Bovidae,2,2,1
Camelus bactrianus,Artiodactyla,Camelidae,3,2,0
Camelus dromedarius,Artiodactyla,Camelidae,3,2,0
Lama glama,Artiodactyla,Camelidae,3,2,0
Lama guanicoe,Artiodactyla,Camelidae,3,2,0
Lama pacos,Artiodactyla,Camelidae,3,2,0
Vicugna vicugna,Artiodactyla,Camelidae,3,2,0
Alces alces,Artiodactyla,Cervidae,1,2,1
Alces americanus,Artiodactyla,Cervidae,1,2,1
Axis axis,Artiodactyla,Cervidae,2,2,0
Axis calamianensis,Artiodactyla,Cervidae,2,2,0
Axis kuhlii,Artiodactyla,Cervidae,2,2,0
Axis porcinus,Artiodactyla,Cervidae,2,2,0
Blastocerus dichotomus,Artiodactyla,Cervidae,1,2,1
Capreolus capreolus,Artiodactyla,Cervidae,1,2,1
Capreolus pygargus,Artiodactyla,Cervidae,1,2,1
Cervus duvaucelii,Artiodactyla,Cervidae,2,2,0
Cervus elaphus,Artiodactyla,Cervidae,2,2,1
Cervus nippon,Artiodactyla,Cervidae,2,2,0
Dama dama,Artiodactyla,Cervidae,1,2,1
Dama mesopotamica,Artiodactyla,Cervidae,1,2,1
Elaphodus cephalophus,Artiodactyla,Cervidae,1,2,1
Elaphurus davidianus,Artiodactyla,Cervidae,1,2,0
Hippocamelus antisensis,Artiodactyla,Cervidae,1,2,1
Hippocamelus bisulcus,Artiodactyla,Cervidae,1,2,1
Hydropotes inermis,Artiodactyla,Cervidae,1,2,1
Mazama americana,Artiodactyla,Cervidae,1,2,1
Mazama bororo,Artiodactyla,Cervidae,1,2,1
Mazama bricenii,Artiodactyla,Cervidae,1,2,1
Mazama chunyi,Artiodactyla,Cervidae,1,2,1
Mazama gouazoubira,Artiodactyla,Cervidae,1,2,1
Mazama nana,Artiodactyla,Cervidae,1,2,1
Mazama pandora,Artiodactyla,Cervidae,1,2,1
Mazama rufina,Artiodactyla,Cervidae,1,2,1
Mazama temama,Artiodactyla,Cervidae,1,2,1
Muntiacus atherodes,Artiodactyla,Cervidae,1,2,1
Muntiacus crinifrons,Artiodactyla,Cervidae,1,2,0
Muntiacus feae,Artiodactyla,Cervidae,1,2,1
Muntiacus gongshanensis,Artiodactyla,Cervidae,1,2,1
Muntiacus muntjak,Artiodactyla,Cervidae,1,2,1
Muntiacus puhoatensis,Artiodactyla,Cervidae,1,2,1
Muntiacus putaoensis,Artiodactyla,Cervidae,1,2,1
Muntiacus reevesi,Artiodactyla,Cervidae,1,2,1
Muntiacus rooseveltorum,Artiodactyla,Cervidae,1,2,1
Muntiacus truongsonensis,Artiodactyla,Cervidae,1,2,1
Muntiacus vuquangensis,Artiodactyla,Cervidae,1,2,1
Odocoileus hemionus,Artiodactyla,Cervidae,1,2,1
Odocoileus virginianus,Artiodactyla,Cervidae,1,2,1
Ozotoceros bezoarticus,Artiodactyla,Cervidae,1,2,1
Przewalskium albirostris,Artiodactyla,Cervidae,2,2,0
Pudu mephistophiles,Artiodactyla,Cervidae,1,2,1
Pudu puda,Artiodactyla,Cervidae,1,2,1
Rangifer tarandus,Artiodactyla,Cervidae,1,2,0
Rucervus duvaucelii,Artiodactyla,Cervidae,2,2,0
Rucervus eldii,Artiodactyla,Cervidae,2,2,0
Rucervus schomburgki,Artiodactyla,Cervidae,2,2,0
Rusa alfredi,Artiodactyla,Cervidae,2,2,0
Rusa marianna,Artiodactyla,Cervidae,2,2,0
Rusa timorensis,Artiodactyla,Cervidae,1,2,0
Rusa unicolor,Artiodactyla,Cervidae,2,2,0
Giraffa camelopardalis,Artiodactyla,Giraffidae,1,2,1
Okapia johnstoni,Artiodactyla,Giraffidae,1,2,1
Hexaprotodon liberiensis,Artiodactyla,Hippopotamidae,1,0,0
Hippopotamus amphibius,Artiodactyla,Hippopotamidae,2,0,0
Moschus anhuiensis,Artiodactyla,Moschidae,1,2,1
Moschus berezovskii,Artiodactyla,Moschidae,1,2,1
Moschus chrysogaster,Artiodactyla,Moschidae,1,2,1
Moschus cupreus,Artiodactyla,Moschidae,1,2,1
Moschus fuscus,Artiodactyla,Moschidae,1,2,1
Moschus leucogaster,Artiodactyla,Moschidae,1,2,1
Moschus moschiferus,Artiodactyla,Moschidae,1,2,1
Babyrousa babyrussa,Artiodactyla,Suidae,1,0,0
Babyrousa bolabatuensis,Artiodactyla,Suidae,1,0,0
Babyrousa celebensis,Artiodactyla,Suidae,1,0,0
Babyrousa togeanensis,Artiodactyla,Suidae,1,0,0
Hylochoerus meinertzhageni,Artiodactyla,Suidae,2,0,0
Phacochoerus aethiopicus,Artiodactyla,Suidae,3,0,0
Phacochoerus africanus,Artiodactyla,Suidae,3,0,0
Potamochoerus larvatus,Artiodactyla,Suidae,1,0,0
Potamochoerus porcus,Artiodactyla,Suidae,1,0,0
Sus ahoenobarbus,Artiodactyla,Suidae,1,0,0
Sus barbatus,Artiodactyla,Suidae,1,0,0
Sus bucculentus,Artiodactyla,Suidae,1,0,0
Sus cebifrons,Artiodactyla,Suidae,1,0,0
Sus celebensis,Artiodactyla,Suidae,1,0,0
Sus oliveri,Artiodactyla,Suidae,1,0,0
Sus philippensis,Artiodactyla,Suidae,1,0,0
Sus salvanius,Artiodactyla,Suidae,1,0,0
Sus scrofa,Artiodactyla,Suidae,1,0,0
Sus verrucosus,Artiodactyla,Suidae,1,0,0
Catagonus wagneri,Artiodactyla,Tayassuidae,1,0,0
Pecari tajacu,Artiodactyla,Tayassuidae,1,0,0
Tayassu pecari,Artiodactyla,Tayassuidae,1,0,0
Hyemoschus aquaticus,Artiodactyla,Tragulidae,1,2,1
Moschiola meminna,Artiodactyla,Tragulidae,1,2,1
Tragulus javanicus,Artiodactyla,Tragulidae,1,2,1
Tragulus kanchil,Artiodactyla,Tragulidae,1,2,1
Tragulus napu,Artiodactyla,Tragulidae,1,2,1
Tragulus nigricans,Artiodactyla,Tragulidae,1,2,1
Tragulus versicolor,Artiodactyla,Tragulidae,1,2,1
Tragulus williamsoni,Artiodactyla,Tragulidae,1,2,1
Equus asinus,Perissodactyla,Equidae,3,2,0
Equus burchellii,Perissodactyla,Equidae,3,2,0
Equus caballus,Perissodactyla,Equidae,3,2,0
Equus grevyi,Perissodactyla,Equidae,3,2,0
Equus hemionus,Perissodactyla,Equidae,3,2,0
Equus kiang,Perissodactyla,Equidae,3,2,0
Equus onager,Perissodactyla,Equidae,3,2,0
Equus quagga,Perissodactyla,Equidae,3,2,0
Equus zebra,Perissodactyla,Equidae,3,2,0
Diceros bicornis,Perissodactyla,Rhinocerotidae,2,1,1
Ceratotherium simum,Perissodactyla,Rhinocerotidae,3,2,0
Dicerorhinus sumatrensis,Perissodactyla,Rhinocerotidae,1,1,1
Rhinoceros sondaicus,Perissodactyla,Rhinocerotidae,1,1,1
Rhinoceros unicornis,Perissodactyla,Rhinocerotidae,1,2,1
Tapirus bairdii,Perissodactyla,Tapiridae,1,0,1
Tapirus indicus,Perissodactyla,Tapiridae,1,0,1
Tapirus pinchaque,Perissodactyla,Tapiridae,1,0,1
Tapirus terrestris,Perissodactyla,Tapiridae,1,0,1
Aotus nigriceps,Primates,Cebidae,1,0,0
Ateles geoffroyi,Primates,Cebidae,1,0,0
Lagothrix poeppigii,Primates,Cebidae,1,0,0
Oreonax flavicauda,Primates,Cebidae,1,0,0
Callimico goeldii,Primates,Callitrichidae,1,0,0
Callithrix acariensis,Primates,Callitrichidae,1,0,0
Callithrix argentata,Primates,Callitrichidae,1,0,0
Callithrix aurita,Primates,Callitrichidae,1,0,0
Callithrix chrysoleuca,Primates,Callitrichidae,1,0,0
Callithrix emiliae,Primates,Callitrichidae,1,0,0
Callithrix flaviceps,Primates,Callitrichidae,1,0,0
Callithrix geoffroyi,Primates,Callitrichidae,1,0,0
Callithrix humeralifera,Primates,Callitrichidae,1,0,0
Callithrix humilis,Primates,Callitrichidae,1,0,0
Callithrix intermedia,Primates,Callitrichidae,1,0,0
Callithrix jacchus,Primates,Callitrichidae,1,0,0
Callithrix kuhlii,Primates,Callitrichidae,1,0,0
Callithrix leucippe,Primates,Callitrichidae,1,0,0
Callithrix manicorensis,Primates,Callitrichidae,1,0,0
Callithrix marcai,Primates,Callitrichidae,1,0,0
Callithrix mauesi,Primates,Callitrichidae,1,0,0
Callithrix melanura,Primates,Callitrichidae,1,0,0
Callithrix nigriceps,Primates,Callitrichidae,1,0,0
Callithrix penicillata,Primates,Callitrichidae,1,0,0
Callithrix pygmaea,Primates,Callitrichidae,1,0,0
Callithrix saterei,Primates,Callitrichidae,1,0,0
Leontopithecus caissara,Primates,Callitrichidae,1,0,0
Leontopithecus chrysomelas,Primates,Callitrichidae,1,0,0
Leontopithecus chrysopygus,Primates,Callitrichidae,1,0,0
Leontopithecus rosalia,Primates,Callitrichidae,1,0,0
Saguinus bicolor,Primates,Callitrichidae,1,0,0
Saguinus fuscicollis,Primates,Callitrichidae,1,0,0
Saguinus graellsi,Primates,Callitrichidae,1,0,0
Saguinus imperator,Primates,Callitrichidae,1,0,0
Saguinus inustus,Primates,Callitrichidae,1,0,0
Saguinus labiatus,Primates,Callitrichidae,1,0,0
Saguinus martinsi,Primates,Callitrichidae,1,0,0
Saguinus melanoleucus,Primates,Callitrichidae,1,0,0
Saguinus midas,Primates,Callitrichidae,1,0,0
Saguinus mystax,Primates,Callitrichidae,1,0,0
Saguinus niger,Primates,Callitrichidae,1,0,0
Saguinus nigricollis,Primates,Callitrichidae,1,0,0
Saguinus oedipus,Primates,Callitrichidae,1,0,0
Saguinus pileatus,Primates,Callitrichidae,1,0,0
Saguinus tripartitus,Primates,Callitrichidae,1,0,0
Alouatta belzebul,Primates,Cebidae,1,1,0
Alouatta caraya,Primates,Cebidae,1,1,0
Alouatta coibensis,Primates,Cebidae,1,1,0
Alouatta fusca,Primates,Cebidae,1,1,0
Alouatta guariba,Primates,Cebidae,1,1,0
Alouatta macconnelli,Primates,Cebidae,1,1,0
Alouatta nigerrima,Primates,Cebidae,1,1,0
Alouatta palliata,Primates,Cebidae,1,1,0
Alouatta pigra,Primates,Cebidae,1,1,0
Alouatta sara,Primates,Cebidae,1,1,0
Alouatta seniculus,Primates,Cebidae,1,1,0
Aotus azarae,Primates,Cebidae,1,0,0
Aotus hershkovitzi,Primates,Cebidae,1,0,0
Aotus infulatus,Primates,Cebidae,1,0,0
Aotus lemurinus,Primates,Cebidae,1,0,0
Aotus miconax,Primates,Cebidae,1,0,0
Aotus nancymaae,Primates,Cebidae,1,0,0
Aotus trivirgatus,Primates,Cebidae,1,0,0
Aotus vociferans,Primates,Cebidae,1,0,0
Ateles belzebuth,Primates,Cebidae,1,0,0
Ateles chamek,Primates,Cebidae,1,0,0
Ateles fusciceps,Primates,Cebidae,1,0,0
Ateles hybridus,Primates,Cebidae,1,0,0
Ateles marginatus,Primates,Cebidae,1,0,0
Ateles paniscus,Primates,Cebidae,1,0,0
Brachyteles arachnoides,Primates,Cebidae,1,0,0
Brachyteles hypoxanthus,Primates,Cebidae,1,0,0
Cacajao calvus,Primates,Cebidae,1,0,0
Cacajao melanocephalus,Primates,Cebidae,1,0,0
Callicebus baptista,Primates,Cebidae,1,0,0
Callicebus barbarabrownae,Primates,Cebidae,1,0,0
Callicebus brunneus,Primates,Cebidae,1,0,0
Callicebus cinerascens,Primates,Cebidae,1,0,0
Callicebus coimbrai,Primates,Cebidae,1,0,0
Callicebus cupreus,Primates,Cebidae,1,0,0
Callicebus donacophilus,Primates,Cebidae,1,0,0
Callicebus hoffmannsi,Primates,Cebidae,1,0,0
Callicebus medemi,Primates,Cebidae,1,0,0
Callicebus melanochir,Primates,Cebidae,1,0,0
Callicebus modestus,Primates,Cebidae,1,0,0
Callicebus moloch,Primates,Cebidae,1,0,0
Callicebus nigrifrons,Primates,Cebidae,1,0,0
Callicebus oenanthe,Primates,Cebidae,1,0,0
Callicebus olallae,Primates,Cebidae,1,0,0
Callicebus ornatus,Primates,Cebidae,1,0,0
Callicebus personatus,Primates,Cebidae,1,0,0
Callicebus torquatus,Primates,Cebidae,1,0,0
Cebus albifrons,Primates,Cebidae,1,0,0
Cebus apella,Primates,Cebidae,1,0,0
Cebus capucinus,Primates,Cebidae,1,0,0
Cebus kaapori,Primates,Cebidae,1,0,0
Cebus libidinosus,Primates,Cebidae,1,0,0
Cebus nigritus,Primates,Cebidae,1,0,0
Cebus olivaceus,Primates,Cebidae,1,0,0
Cebus xanthosternos,Primates,Cebidae,1,0,0
Chiropotes albinasus,Primates,Cebidae,1,0,0
Chiropotes satanas,Primates,Cebidae,1,0,0
Lagothrix cana,Primates,Cebidae,1,0,0
Lagothrix lagotricha,Primates,Cebidae,1,0,0
Lagothrix lugens,Primates,Cebidae,1,0,0
Pithecia aequatorialis,Primates,Cebidae,1,0,0
Pithecia albicans,Primates,Cebidae,1,0,0
Pithecia irrorata,Primates,Cebidae,1,0,0
Pithecia monachus,Primates,Cebidae,1,0,0
Pithecia pithecia,Primates,Cebidae,1,0,0
Saguinus geoffroyi,Primates,Cebidae,1,0,0
Saguinus leucopus,Primates,Cebidae,1,0,0
Saimiri boliviensis,Primates,Cebidae,1,0,0
Saimiri oerstedii,Primates,Cebidae,1,0,0
Saimiri sciureus,Primates,Cebidae,1,0,0
Saimiri ustus,Primates,Cebidae,1,0,0
Saimiri vanzolinii,Primates,Cebidae,1,0,0
Allenopithecus nigroviridis,Primates,Cercopithecidae,1,0,0
Cercocebus agilis,Primates,Cercopithecidae,1,0,0
Cercocebus atys,Primates,Cercopithecidae,1,0,0
Cercocebus chrysogaster,Primates,Cercopithecidae,1,0,0
Cercocebus galeritus,Primates,Cercopithecidae,1,0,0
Cercocebus sanjei,Primates,Cercopithecidae,1,0,0
Cercocebus torquatus,Primates,Cercopithecidae,1,0,0
Cercopithecus albogularis,Primates,Cercopithecidae,1,0,0
Cercopithecus ascanius,Primates,Cercopithecidae,1,0,0
Cercopithecus campbelli,Primates,Cercopithecidae,1,0,0
Cercopithecus cephus,Primates,Cercopithecidae,1,0,0
Cercopithecus denti,Primates,Cercopithecidae,1,0,0
Cercopithecus diana,Primates,Cercopithecidae,1,0,0
Cercopithecus doggetti,Primates,Cercopithecidae,1,0,1
Cercopithecus dryas,Primates,Cercopithecidae,1,0,0
Cercopithecus erythrogaster,Primates,Cercopithecidae,1,0,0
Cercopithecus erythrotis,Primates,Cercopithecidae,1,0,0
Cercopithecus hamlyni,Primates,Cercopithecidae,1,0,0
Cercopithecus kandti,Primates,Cercopithecidae,1,0,1
Cercopithecus lhoesti,Primates,Cercopithecidae,1,0,0
Cercopithecus lowei,Primates,Cercopithecidae,1,0,1
Cercopithecus mitis,Primates,Cercopithecidae,1,0,0
Cercopithecus mona,Primates,Cercopithecidae,1,0,1
Cercopithecus neglectus,Primates,Cercopithecidae,1,0,0
Cercopithecus nictitans,Primates,Cercopithecidae,1,0,0
Cercopithecus petaurista,Primates,Cercopithecidae,1,0,0
Cercopithecus pogonias,Primates,Cercopithecidae,1,0,0
Cercopithecus preussi,Primates,Cercopithecidae,1,0,0
Cercopithecus roloway,Primates,Cercopithecidae,1,0,1
Cercopithecus sclateri,Primates,Cercopithecidae,1,0,0
Cercopithecus solatus,Primates,Cercopithecidae,1,0,0
Cercopithecus wolfi,Primates,Cercopithecidae,1,0,0
Chlorocebus aethiops,Primates,Cercopithecidae,1,0,0
Chlorocebus cynosuros,Primates,Cercopithecidae,1,0,0
Chlorocebus djamdjamensis,Primates,Cercopithecidae,1,0,1
Chlorocebus pygerythrus,Primates,Cercopithecidae,1,0,0
Chlorocebus sabaeus,Primates,Cercopithecidae,1,0,0
Chlorocebus tantalus,Primates,Cercopithecidae,1,0,0
Colobus angolensis,Primates,Cercopithecidae,1,0,1
Colobus guereza,Primates,Cercopithecidae,1,0,1
Colobus polykomos,Primates,Cercopithecidae,1,0,1
Colobus satanas,Primates,Cercopithecidae,1,0,1
Colobus vellerosus,Primates,Cercopithecidae,1,0,1
Erythrocebus patas,Primates,Cercopithecidae,1,0,0
Lophocebus albigena,Primates,Cercopithecidae,1,0,0
Lophocebus aterrimus,Primates,Cercopithecidae,1,0,0
Lophocebus opdenboschi,Primates,Cercopithecidae,1,0,0
Macaca arctoides,Primates,Cercopithecidae,1,0,0
Macaca assamensis,Primates,Cercopithecidae,1,0,0
Macaca cyclopis,Primates,Cercopithecidae,1,0,0
Macaca fascicularis,Primates,Cercopithecidae,1,0,0
Macaca fuscata,Primates,Cercopithecidae,1,0,0
Macaca hecki,Primates,Cercopithecidae,1,0,0
Macaca leonina,Primates,Cercopithecidae,1,0,0
Macaca maura,Primates,Cercopithecidae,1,0,0
Macaca mulatta,Primates,Cercopithecidae,1,0,0
Macaca nemestrina,Primates,Cercopithecidae,1,0,0
Macaca nigra,Primates,Cercopithecidae,1,0,0
Macaca nigrescens,Primates,Cercopithecidae,1,0,0
Macaca ochreata,Primates,Cercopithecidae,1,0,0
Macaca pagensis,Primates,Cercopithecidae,1,0,0
Macaca radiata,Primates,Cercopithecidae,1,0,0
Macaca siberu,Primates,Cercopithecidae,1,0,0
Macaca silenus,Primates,Cercopithecidae,1,0,0
Macaca sinica,Primates,Cercopithecidae,1,0,0
Macaca sylvanus,Primates,Cercopithecidae,1,0,0
Macaca thibetana,Primates,Cercopithecidae,1,0,0
Macaca tonkeana,Primates,Cercopithecidae,1,0,0
Mandrillus leucophaeus,Primates,Cercopithecidae,1,0,0
Mandrillus sphinx,Primates,Cercopithecidae,1,0,0
Miopithecus ogouensis,Primates,Cercopithecidae,1,0,0
Miopithecus talapoin,Primates,Cercopithecidae,1,0,0
Nasalis larvatus,Primates,Cercopithecidae,1,0,1
Papio anubis,Primates,Cercopithecidae,1,0,0
Papio cynocephalus,Primates,Cercopithecidae,1,0,0
Papio hamadryas,Primates,Cercopithecidae,1,0,0
Papio papio,Primates,Cercopithecidae,1,0,0
Papio ursinus,Primates,Cercopithecidae,1,0,0
Piliocolobus badius,Primates,Cercopithecidae,1,0,1
Piliocolobus foai,Primates,Cercopithecidae,1,0,1
Piliocolobus gordonorum,Primates,Cercopithecidae,1,0,1
Piliocolobus kirkii,Primates,Cercopithecidae,1,0,1
Piliocolobus pennantii,Primates,Cercopithecidae,1,0,1
Piliocolobus preussi,Primates,Cercopithecidae,1,0,1
Piliocolobus rufomitratus,Primates,Cercopithecidae,1,0,1
Piliocolobus tephrosceles,Primates,Cercopithecidae,1,0,1
Piliocolobus tholloni,Primates,Cercopithecidae,1,0,1
Presbytis chrysomelas,Primates,Cercopithecidae,1,0,0
Presbytis comata,Primates,Cercopithecidae,1,0,0
Presbytis femoralis,Primates,Cercopithecidae,1,0,1
Presbytis frontata,Primates,Cercopithecidae,1,0,1
Presbytis hosei,Primates,Cercopithecidae,1,0,1
Presbytis melalophos,Primates,Cercopithecidae,1,0,1
